SERVICIO,COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Ministerio de Salud,Santiago,Punto de vacunacion Minsal,0,0,0
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,14,139,367
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,75,314,879
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,119,406,1012
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,148,404,1136
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,37,120,363
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Clotario Blest,61,91,163
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Carlos Godoy,17,59,293
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Iván Insunza,17,87,246
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,28,777,977
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,8,39,78
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,16,160,396
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,34,112,338
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,48,284,704
S.S. Metropolitano Central,Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,0,5,18
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,8,49,105
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,49,110,266
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,29,280,482
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,61,642,1672
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,64,164,484
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,75,180,605
S.S. Metropolitano Central,Santiago,Hospital Clínico San Borja Arriarán,17,66,141
