SERVICIO,COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Ministerio de Salud,Santiago,Punto de vacunacion Minsal,0,0,0
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,39,356,897
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,200,735,1953
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,163,485,1331
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,98,640,1537
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,47,262,1030
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Clotario Blest,14,59,348
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Carlos Godoy,24,379,1420
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Iván Insunza,41,197,709
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,80,287,1337
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,15,55,226
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,33,161,798
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,95,586,1962
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,41,331,1070
S.S. Metropolitano Central,Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,0,9,24
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,35,254,732
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,126,386,1282
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,62,229,527
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,154,841,2352
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,101,353,1227
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,58,213,804
S.S. Metropolitano Central,Santiago,Hospital Clínico San Borja Arriarán,26,97,333
S.S. Metropolitano Central,Santiago,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,1,2,19
S.S. Metropolitano Norte,Colina,CESFAM La Reina de Colina,16,57,190
S.S. Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,0,2,15
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Colina,43,801,2209
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Esmeralda,24,108,504
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Chacabuco (Colina),0,0,15
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Colorado,0,10,28
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Las Canteras,0,0,13
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Los Ingleses,0,2,23
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Santa Marta de Liray,0,5,21
S.S. Metropolitano Norte,Colina,SAR Colina,0,0,0
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,11,56,232
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar José Symon Ojeda,8,54,210
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Juanita Aguirre,15,48,185
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Lucas Sierra,15,109,563
S.S. Metropolitano Norte,Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,2,20,72
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens,11,56,266
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Victor Castro Wiren,8,33,176
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar El Barrero,9,33,108
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar La Pincoya,15,100,362
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Agustín Cruz Melo,130,403,1289
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Juan Antonio Ríos,17,79,270
S.S. Metropolitano Norte,Independencia,"Complejo Hospitalario San José (Santiago, Independencia)",1,14,68
S.S. Metropolitano Norte,Independencia,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",1,15,54
S.S. Metropolitano Norte,Independencia,SAPU DR. AGUSTIN CRUZ MELO,3,3,3
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Batuco,7,51,185
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar José Bauza Frau,34,137,521
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Juan Pablo II,8,33,104
S.S. Metropolitano Norte,Lampa,Posta de Salud Rural Juan Pablo II de Lampa,0,0,0
S.S. Metropolitano Norte,Quilicura,CESFAM Marta Ugarte Román,26,99,657
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Irene Frei de Cid,21,413,967
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Manuel Bustos Huerta,15,97,523
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens,14,146,974
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),21,102,289
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),9,60,228
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Quinta Bella,14,79,337
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Recoleta,25,119,937
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Valdivieso,15,123,455
S.S. Metropolitano Norte,Recoleta,SAR Recoleta,0,0,0
S.S. Metropolitano Norte,Tiltil,Centro de Salud Familiar Huertos Familiares,3,28,54
S.S. Metropolitano Norte,Tiltil,Hospital de Til Til,1,17,83
