SERVICIO,COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Ministerio de Salud,Santiago,Punto de vacunacion Minsal,0,0,0
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,55,129,339
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,183,565,1506
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,248,506,1165
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,241,675,1243
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,164,261,491
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Clotario Blest,41,65,125
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Carlos Godoy,204,262,394
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Iván Insunza,87,195,333
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,70,148,393
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,44,86,172
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,104,225,377
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,126,266,530
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,178,264,478
S.S. Metropolitano Central,Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,8,9,14
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,30,156,324
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,97,284,682
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,76,225,457
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,542,920,1683
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,206,503,949
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,322,472,752
S.S. Metropolitano Central,Santiago,Hospital Clínico San Borja Arriarán,56,83,170
S.S. Metropolitano Central,Santiago,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,2,2,8
S.S. Metropolitano Norte,Colina,CESFAM La Reina de Colina,46,73,125
S.S. Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,7,7,13
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Colina,142,258,609
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Esmeralda,47,98,188
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Chacabuco (Colina),0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Colorado,1,1,1
