SERVICIO,COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Ministerio de Salud,Santiago,Punto de vacunacion Minsal,0,0,0
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,36,64,635
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,6,461,1514
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,163,269,1031
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,62,175,1104
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,47,96,623
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Clotario Blest,14,23,206
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Carlos Godoy,24,39,830
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Iván Insunza,26,73,437
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,65,117,490
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,15,20,116
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,33,45,404
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,44,110,1274
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,36,75,674
S.S. Metropolitano Central,Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,0,3,16
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,32,39,574
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,119,153,716
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,53,86,419
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,113,299,1536
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,36,150,798
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,55,131,410
S.S. Metropolitano Central,Santiago,Hospital Clínico San Borja Arriarán,26,39,200
S.S. Metropolitano Central,Santiago,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,1,2,7
S.S. Metropolitano Norte,Colina,CESFAM La Reina de Colina,16,21,115
S.S. Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,0,0,2
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Colina,33,196,1495
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Esmeralda,24,40,243
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Chacabuco (Colina),0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Colorado,0,0,10
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Las Canteras,0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Los Ingleses,0,0,2
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Santa Marta de Liray,0,0,5
S.S. Metropolitano Norte,Colina,SAR Colina,0,0,0
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,11,18,136
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar José Symon Ojeda,8,13,117
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Juanita Aguirre,15,18,118
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Lucas Sierra,15,32,291
S.S. Metropolitano Norte,Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,2,5,44
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens,11,21,167
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Victor Castro Wiren,8,13,104
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar El Barrero,9,13,69
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar La Pincoya,15,27,204
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Agustín Cruz Melo,64,162,764
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Juan Antonio Ríos,8,26,192
S.S. Metropolitano Norte,Independencia,"Complejo Hospitalario San José (Santiago, Independencia)",1,6,48
S.S. Metropolitano Norte,Independencia,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",1,2,31
S.S. Metropolitano Norte,Independencia,SAPU DR. AGUSTIN CRUZ MELO,0,3,3
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Batuco,6,12,126
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar José Bauza Frau,30,46,293
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Juan Pablo II,6,11,71
S.S. Metropolitano Norte,Lampa,Posta de Salud Rural Juan Pablo II de Lampa,0,0,0
S.S. Metropolitano Norte,Quilicura,CESFAM Marta Ugarte Román,26,38,318
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Irene Frei de Cid,21,44,770
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Manuel Bustos Huerta,15,33,401
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens,14,39,454
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),21,37,190
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),9,12,136
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Quinta Bella,14,22,148
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Recoleta,25,28,270
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Valdivieso,15,22,254
S.S. Metropolitano Norte,Recoleta,SAR Recoleta,0,0,0
S.S. Metropolitano Norte,Tiltil,Centro de Salud Familiar Huertos Familiares,3,4,44
S.S. Metropolitano Norte,Tiltil,Hospital de Til Til,1,5,39
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural La Capilla de Caleu,0,0,0
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural Montenegro,0,0,0
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural Polpaico,0,0,15
S.S. Metropolitano Occidente,Alhué,Centro de Salud Familiar Villa Alhué,2,8,74
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Cerro Navia,8,16,155
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Adalberto Steeger,27,43,269
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Arturo Albertz,28,54,567
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Lo Amor,6,12,122
S.S. Metropolitano Occidente,Curacavi,Hospital de Curacaví,14,30,278
S.S. Metropolitano Occidente,El Monte,Centro de Salud Familiar El Monte,9,15,253
S.S. Metropolitano Occidente,Isla De Maipo,Centro Comunitario de Salud Familiar La Islita,1,1,3
S.S. Metropolitano Occidente,Isla De Maipo,Centro Comunitario de Salud Familiar San Vicente de Naltagua,0,1,17
S.S. Metropolitano Occidente,Isla De Maipo,Centro de Salud Familiar Isla de Maipo,4,7,85
S.S. Metropolitano Occidente,Isla De Maipo,Centro de Salud Familiar La Islita,9,12,51
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural Gacitúa,1,2,6
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),2,4,8
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural San Antonio de Naltagua,1,1,4
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Carlos Avendaño,10,14,187
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Raúl Yazigi,6,59,164
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Pablo Neruda,9,19,174
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Santa Anita,7,20,278
S.S. Metropolitano Occidente,María Pinto,Centro de Salud Familiar Adriana Madrid De Costabal,8,9,76
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Alfarera Rosa Reyes Vilches,2,3,45
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Dr. Edelberto Elgueta,11,23,155
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Dr. Francisco Boris Soler,13,21,162
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Florencia,17,102,297
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar San Manuel,8,11,93
S.S. Metropolitano Occidente,Melipilla,Hospital San José (Melipilla),0,0,0
S.S. Metropolitano Occidente,Melipilla,Posta de Salud Rural Bollenar,0,0,24
S.S. Metropolitano Occidente,Melipilla,Posta de Salud Rural Pahuilmo,0,0,21
S.S. Metropolitano Occidente,Melipilla,Posta de salud Rural Pabellón,0,0,4
S.S. Metropolitano Occidente,Padre Hurtado,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),49,116,667
S.S. Metropolitano Occidente,Peñaflor,Centro de Salud Familiar Dr. Fernando Monckeberg,8,30,231
S.S. Metropolitano Occidente,Peñaflor,Centro de Salud Familiar Peñaflor,20,31,208
S.S. Metropolitano Occidente,Peñaflor,Hospital de Peñaflor,0,0,2
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.,0,0,2
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Mar Caribe,1,1,2
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Santa Corina,0,0,14
S.S. Metropolitano Occidente,Pudahuel,Centro de Referencia de Salud Salvador Allende,0,0,1
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Cardenal Raúl Silva Henríquez,18,38,156
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Dr. Gustavo Molina,25,54,245
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Pudahuel Estrella,22,59,441
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Pudahuel Poniente,30,44,364
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Violeta Parra,24,47,310
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Andes,18,28,236
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Garín,15,18,88
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Lo Franco,15,21,148
S.S. Metropolitano Occidente,Quinta Normal,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",0,4,18
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Bicentenario,25,54,324
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Dr. Hernán Urzúa Merino,22,34,229
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Huamachuco,13,15,98
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Renca,24,63,508
S.S. Metropolitano Occidente,San Pedro,Centro de Salud Familiar San Pedro,17,44,127
S.S. Metropolitano Occidente,Santiago,"Hospital San Juan de Dios (Santiago, Santiago)",8,14,219
S.S. Metropolitano Occidente,Santiago,Instituto Traumatológico Dr. Teodoro Gebauer,0,1,4
S.S. Metropolitano Occidente,Talagante,Centro de Salud Familiar Dr. Alberto Allende Jones,33,55,426
S.S. Metropolitano Occidente,Talagante,Hospital Adalberto Steeger (Talagante),0,0,0
S.S. Metropolitano Occidente,Talagante,Posta de Salud Rural Aliro Cárcarmo (Lonquén),1,1,6
S.S. Metropolitano Oriente,La Reina,Centro de Salud Familiar Juan Pablo II ( La Reina),2,13,82
S.S. Metropolitano Oriente,La Reina,Centro de Salud Familiar Ossandon,7,25,187
S.S. Metropolitano Oriente,Las Condes,Centro de Salud Familiar Aníbal Ariztía,19,37,282
S.S. Metropolitano Oriente,Las Condes,Centro de Salud Familiar Apoquindo,27,43,305
S.S. Metropolitano Oriente,Lo Barnechea,Centro de Salud Familiar Lo Barnechea,23,63,324
S.S. Metropolitano Oriente,Macul,Centro de Salud Familiar Félix de Amesti,12,22,483
S.S. Metropolitano Oriente,Macul,Centro de Salud Familiar Padre Alberto Hurtado,11,21,160
S.S. Metropolitano Oriente,Macul,Centro de Salud Familiar Santa Julia,15,37,225
S.S. Metropolitano Oriente,Peñalolén,CESFAM Las Torres,11,41,240
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Cardenal Silva Henríquez,5,12,136
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Carol Urzúa Ibáñez,30,69,443
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar La Faena,34,62,487
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Lo Hermida,14,22,143
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Padre Gerardo Whelan,14,29,350
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar San Luis,14,26,316
S.S. Metropolitano Oriente,Peñalolén,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",0,0,0
S.S. Metropolitano Oriente,Peñalolén,Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda,0,0,0
S.S. Metropolitano Oriente,Providencia,Centro de Salud Familiar Aguilucho,19,54,351
S.S. Metropolitano Oriente,Providencia,Centro de Salud Familiar Dr. Alfonso Leng,24,60,374
S.S. Metropolitano Oriente,Providencia,Centro de Salud Familiar Dr. Hernán Alessandri,12,31,275
S.S. Metropolitano Oriente,Providencia,Hospital Del Salvador de Santiago,0,1,14
S.S. Metropolitano Oriente,Providencia,Hospital Metropolitano ( ex Militar ),0,0,3
S.S. Metropolitano Oriente,Providencia,Hospital de Niños Dr. Luis Calvo Mackenna,0,0,0
S.S. Metropolitano Oriente,Providencia,Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva,0,0,0
S.S. Metropolitano Oriente,Providencia,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,0,6,12
S.S. Metropolitano Oriente,Providencia,Instituto de Neurocirugía Dr. Alfonso Asenjo,0,0,0
S.S. Metropolitano Oriente,Vitacura,Centro de Salud Familiar Vitacura,18,40,322
S.S. Metropolitano Oriente,Ñuñoa,Centro de Salud Familiar Rosita Renard,15,73,400
S.S. Metropolitano Oriente,Ñuñoa,Centro de Salud Familiar Salvador Bustos,153,393,2256
S.S. Metropolitano Sur,Buin,Centro Comunitario de Salud Familiar Dr. Héctor García,4,9,59
S.S. Metropolitano Sur,Buin,Centro Comunitario de Salud Familiar Dr. Ramón Galindo,2,9,40
S.S. Metropolitano Sur,Buin,Centro de Salud Familiar Alto Jahuel,25,38,139
S.S. Metropolitano Sur,Buin,Centro de Salud Familiar Dr. Héctor García,27,53,381
S.S. Metropolitano Sur,Buin,Centro de Salud Familiar Maipo,15,22,184
S.S. Metropolitano Sur,Buin,Hospital San Luis (Buin),0,0,0
S.S. Metropolitano Sur,Buin,Posta de Salud Rural El Recurso,0,0,0
S.S. Metropolitano Sur,Buin,Posta de Salud Rural Los Morros,0,0,0
S.S. Metropolitano Sur,Buin,Posta de Salud Rural Valdivia de Paine,0,2,5
S.S. Metropolitano Sur,Buin,Posta de Salud Rural Viluco,3,3,30
S.S. Metropolitano Sur,Calera De Tango,Centro de Salud Familiar Calera de Tango,1,5,29
S.S. Metropolitano Sur,Calera De Tango,Centro de Salud Familiar Los Bajos de San Agustín,5,10,49
