SERVICIO,COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Ministerio de Salud,Santiago,Punto de vacunacion Minsal,0,0,0
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,68,205,383
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,224,577,1373
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,180,596,1252
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,67,575,1407
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,9,208,495
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Clotario Blest,7,76,136
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Carlos Godoy,12,292,470
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Iván Insunza,52,191,373
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,42,151,369
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,5,46,159
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,62,217,469
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,27,229,552
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,53,374,641
S.S. Metropolitano Central,Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,3,12,19
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,8,48,307
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,37,174,613
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,42,194,490
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,192,934,1960
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,59,300,930
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,56,482,860
S.S. Metropolitano Central,Santiago,Hospital Clínico San Borja Arriarán,15,86,175
S.S. Metropolitano Central,Santiago,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,1,4,9
S.S. Metropolitano Norte,Colina,CESFAM La Reina de Colina,8,62,131
S.S. Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,0,7,13
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Colina,39,220,529
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Esmeralda,12,96,204
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Chacabuco (Colina),0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Colorado,0,1,1
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Las Canteras,0,3,3
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Los Ingleses,0,4,8
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Santa Marta de Liray,0,4,6
S.S. Metropolitano Norte,Colina,SAR Colina,0,0,0
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,8,79,183
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar José Symon Ojeda,6,67,139
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Juanita Aguirre,9,52,105
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Lucas Sierra,25,159,366
S.S. Metropolitano Norte,Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,5,60,78
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens,7,62,128
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Victor Castro Wiren,5,45,116
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar El Barrero,3,42,117
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar La Pincoya,12,92,196
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Agustín Cruz Melo,78,429,893
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Juan Antonio Ríos,24,101,183
S.S. Metropolitano Norte,Independencia,"Complejo Hospitalario San José (Santiago, Independencia)",4,16,35
S.S. Metropolitano Norte,Independencia,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",2,17,30
S.S. Metropolitano Norte,Independencia,SAPU DR. AGUSTIN CRUZ MELO,0,0,0
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Batuco,7,79,147
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar José Bauza Frau,44,235,445
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Juan Pablo II,8,31,70
S.S. Metropolitano Norte,Lampa,Posta de Salud Rural Juan Pablo II de Lampa,0,0,0
S.S. Metropolitano Norte,Quilicura,CESFAM Marta Ugarte Román,20,142,491
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Irene Frei de Cid,16,163,427
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Manuel Bustos Huerta,13,125,312
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens,125,239,557
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),12,93,212
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),0,29,117
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Quinta Bella,10,51,160
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Recoleta,14,87,179
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Valdivieso,22,86,306
S.S. Metropolitano Norte,Recoleta,SAR Recoleta,0,0,0
S.S. Metropolitano Norte,Tiltil,Centro de Salud Familiar Huertos Familiares,0,10,25
S.S. Metropolitano Norte,Tiltil,Hospital de Til Til,8,24,109
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural La Capilla de Caleu,0,0,0
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural Montenegro,0,0,0
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural Polpaico,0,2,4
S.S. Metropolitano Occidente,Alhué,Centro de Salud Familiar Villa Alhué,3,26,59
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Cerro Navia,7,75,160
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Adalberto Steeger,11,81,215
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Arturo Albertz,22,234,614
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Lo Amor,3,52,138
S.S. Metropolitano Occidente,Curacavi,Hospital de Curacaví,13,73,192
S.S. Metropolitano Occidente,El Monte,Centro de Salud Familiar El Monte,8,64,168
S.S. Metropolitano Occidente,Isla De Maipo,Centro Comunitario de Salud Familiar La Islita,0,10,12
S.S. Metropolitano Occidente,Isla De Maipo,Centro Comunitario de Salud Familiar San Vicente de Naltagua,0,4,7
S.S. Metropolitano Occidente,Isla De Maipo,Centro de Salud Familiar Isla de Maipo,5,28,60
S.S. Metropolitano Occidente,Isla De Maipo,Centro de Salud Familiar La Islita,3,32,57
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural Gacitúa,1,4,9
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),0,0,3
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural San Antonio de Naltagua,0,3,4
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Carlos Avendaño,6,101,209
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Raúl Yazigi,2,52,170
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Pablo Neruda,3,30,102
