SERVICIO,COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Ministerio de Salud,Santiago,Punto de vacunacion Minsal,0,0,0
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,5,174,581
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,145,741,1605
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,85,634,1218
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,221,794,1527
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,51,266,544
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Clotario Blest,6,57,126
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Carlos Godoy,26,165,556
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Iván Insunza,9,176,379
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,8,198,501
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,9,105,172
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,70,241,418
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,38,306,918
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,49,243,605
S.S. Metropolitano Central,Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,3,5,15
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,8,255,517
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,17,423,835
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,10,281,534
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,168,961,1828
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,50,611,996
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,76,347,588
S.S. Metropolitano Central,Santiago,Hospital Clínico San Borja Arriarán,15,87,187
S.S. Metropolitano Central,Santiago,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,0,4,6
S.S. Metropolitano Norte,Colina,CESFAM La Reina de Colina,9,56,124
S.S. Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,0,6,8
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Colina,69,288,1106
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Esmeralda,10,102,219
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Chacabuco (Colina),0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Colorado,0,0,10
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Las Canteras,0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Los Ingleses,0,4,6
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Santa Marta de Liray,0,2,7
S.S. Metropolitano Norte,Colina,SAR Colina,0,0,0
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,17,100,161
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar José Symon Ojeda,8,69,137
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Juanita Aguirre,7,42,98
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Lucas Sierra,16,166,320
S.S. Metropolitano Norte,Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,1,11,32
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens,5,57,113
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Victor Castro Wiren,5,70,107
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar El Barrero,31,70,107
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar La Pincoya,6,100,207
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Agustín Cruz Melo,67,429,867
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Juan Antonio Ríos,14,77,160
S.S. Metropolitano Norte,Independencia,"Complejo Hospitalario San José (Santiago, Independencia)",1,17,35
S.S. Metropolitano Norte,Independencia,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",1,12,30
S.S. Metropolitano Norte,Independencia,SAPU DR. AGUSTIN CRUZ MELO,0,0,3
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Batuco,11,59,115
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar José Bauza Frau,28,192,357
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Juan Pablo II,5,36,73
S.S. Metropolitano Norte,Lampa,Posta de Salud Rural Juan Pablo II de Lampa,0,0,0
S.S. Metropolitano Norte,Quilicura,CESFAM Marta Ugarte Román,20,334,457
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Irene Frei de Cid,24,251,683
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Manuel Bustos Huerta,64,170,294
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens,45,303,476
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),15,114,230
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),0,88,164
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Quinta Bella,9,100,187
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Recoleta,2,88,221
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Valdivieso,81,213,341
S.S. Metropolitano Norte,Recoleta,SAR Recoleta,0,0,0
S.S. Metropolitano Norte,Tiltil,Centro de Salud Familiar Huertos Familiares,1,15,46
S.S. Metropolitano Norte,Tiltil,Hospital de Til Til,4,73,97
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural La Capilla de Caleu,0,0,0
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural Montenegro,0,0,0
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural Polpaico,0,0,15
S.S. Metropolitano Occidente,Alhué,Centro de Salud Familiar Villa Alhué,4,31,75
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Cerro Navia,3,82,177
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Adalberto Steeger,8,122,255
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Arturo Albertz,19,345,737
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Lo Amor,6,77,125
S.S. Metropolitano Occidente,Curacavi,Hospital de Curacaví,7,107,274
S.S. Metropolitano Occidente,El Monte,Centro de Salud Familiar El Monte,12,103,222
S.S. Metropolitano Occidente,Isla De Maipo,Centro Comunitario de Salud Familiar La Islita,2,2,5
S.S. Metropolitano Occidente,Isla De Maipo,Centro Comunitario de Salud Familiar San Vicente de Naltagua,0,2,8
S.S. Metropolitano Occidente,Isla De Maipo,Centro de Salud Familiar Isla de Maipo,7,31,63
S.S. Metropolitano Occidente,Isla De Maipo,Centro de Salud Familiar La Islita,1,24,53
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural Gacitúa,0,5,8
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),0,3,8
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural San Antonio de Naltagua,1,1,4
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Carlos Avendaño,15,99,202
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Raúl Yazigi,4,113,212
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Pablo Neruda,8,63,120
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Santa Anita,12,94,192
S.S. Metropolitano Occidente,María Pinto,Centro de Salud Familiar Adriana Madrid De Costabal,4,65,106
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Alfarera Rosa Reyes Vilches,2,19,48
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Dr. Edelberto Elgueta,8,70,150
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Dr. Francisco Boris Soler,11,95,175
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Florencia,13,114,331
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar San Manuel,4,21,74
S.S. Metropolitano Occidente,Melipilla,Hospital San José (Melipilla),0,1,1
S.S. Metropolitano Occidente,Melipilla,Posta de Salud Rural Bollenar,0,23,42
S.S. Metropolitano Occidente,Melipilla,Posta de Salud Rural Pahuilmo,0,14,29
S.S. Metropolitano Occidente,Melipilla,Posta de salud Rural Pabellón,0,0,1
S.S. Metropolitano Occidente,Padre Hurtado,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),45,194,510
S.S. Metropolitano Occidente,Peñaflor,Centro de Salud Familiar Dr. Fernando Monckeberg,10,135,247
S.S. Metropolitano Occidente,Peñaflor,Centro de Salud Familiar Peñaflor,36,192,309
S.S. Metropolitano Occidente,Peñaflor,Hospital de Peñaflor,0,2,3
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.,0,0,1
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Mar Caribe,0,2,3
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Santa Corina,0,6,14
S.S. Metropolitano Occidente,Pudahuel,Centro de Referencia de Salud Salvador Allende,0,0,1
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Cardenal Raúl Silva Henríquez,3,73,149
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Dr. Gustavo Molina,11,120,251
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Pudahuel Estrella,6,155,450
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Pudahuel Poniente,84,214,360
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Violeta Parra,17,344,530
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Andes,14,108,238
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Garín,9,75,130
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Lo Franco,9,96,182
S.S. Metropolitano Occidente,Quinta Normal,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",3,15,22
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Bicentenario,14,157,337
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Dr. Hernán Urzúa Merino,17,144,276
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Huamachuco,6,45,92
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Renca,15,208,397
S.S. Metropolitano Occidente,San Pedro,Centro de Salud Familiar San Pedro,9,47,115
S.S. Metropolitano Occidente,Santiago,"Hospital San Juan de Dios (Santiago, Santiago)",3,52,149
S.S. Metropolitano Occidente,Santiago,Instituto Traumatológico Dr. Teodoro Gebauer,0,0,3
S.S. Metropolitano Occidente,Talagante,Centro de Salud Familiar Dr. Alberto Allende Jones,17,207,424
S.S. Metropolitano Occidente,Talagante,Hospital Adalberto Steeger (Talagante),0,0,0
S.S. Metropolitano Occidente,Talagante,Posta de Salud Rural Aliro Cárcarmo (Lonquén),1,4,7
S.S. Metropolitano Oriente,La Reina,Centro de Salud Familiar Juan Pablo II ( La Reina),3,32,67
S.S. Metropolitano Oriente,La Reina,Centro de Salud Familiar Ossandon,9,61,133
S.S. Metropolitano Oriente,Las Condes,Centro de Salud Familiar Aníbal Ariztía,10,156,303
S.S. Metropolitano Oriente,Las Condes,Centro de Salud Familiar Apoquindo,10,120,260
S.S. Metropolitano Oriente,Lo Barnechea,Centro de Salud Familiar Lo Barnechea,13,108,255
S.S. Metropolitano Oriente,Macul,Centro de Salud Familiar Félix de Amesti,3,76,143
S.S. Metropolitano Oriente,Macul,Centro de Salud Familiar Padre Alberto Hurtado,65,146,233
S.S. Metropolitano Oriente,Macul,Centro de Salud Familiar Santa Julia,81,213,327
S.S. Metropolitano Oriente,Peñalolén,CESFAM Las Torres,22,114,240
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Cardenal Silva Henríquez,15,76,137
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Carol Urzúa Ibáñez,46,206,393
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar La Faena,25,190,437
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Lo Hermida,15,69,138
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Padre Gerardo Whelan,3,57,145
S.S. Metropolitano Oriente,Peñalolén,Centro de Salud Familiar San Luis,2,60,143
S.S. Metropolitano Oriente,Peñalolén,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",0,0,0
S.S. Metropolitano Oriente,Peñalolén,Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda,0,0,0
S.S. Metropolitano Oriente,Providencia,Centro de Salud Familiar Aguilucho,18,116,329
S.S. Metropolitano Oriente,Providencia,Centro de Salud Familiar Dr. Alfonso Leng,15,204,433
S.S. Metropolitano Oriente,Providencia,Centro de Salud Familiar Dr. Hernán Alessandri,29,116,238
S.S. Metropolitano Oriente,Providencia,Hospital Del Salvador de Santiago,0,2,13
S.S. Metropolitano Oriente,Providencia,Hospital Metropolitano ( ex Militar ),0,2,3
S.S. Metropolitano Oriente,Providencia,Hospital de Niños Dr. Luis Calvo Mackenna,0,0,0
S.S. Metropolitano Oriente,Providencia,Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva,0,0,0
S.S. Metropolitano Oriente,Providencia,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,0,14,26
S.S. Metropolitano Oriente,Providencia,Instituto de Neurocirugía Dr. Alfonso Asenjo,0,5,5
S.S. Metropolitano Oriente,Vitacura,Centro de Salud Familiar Vitacura,16,124,267
S.S. Metropolitano Oriente,Ñuñoa,Centro de Salud Familiar Rosita Renard,21,238,419
S.S. Metropolitano Oriente,Ñuñoa,Centro de Salud Familiar Salvador Bustos,141,1552,2453
S.S. Metropolitano Sur,Buin,Centro Comunitario de Salud Familiar Dr. Héctor García,9,28,57
S.S. Metropolitano Sur,Buin,Centro Comunitario de Salud Familiar Dr. Ramón Galindo,4,20,39
S.S. Metropolitano Sur,Buin,Centro de Salud Familiar Alto Jahuel,4,79,186
S.S. Metropolitano Sur,Buin,Centro de Salud Familiar Dr. Héctor García,15,194,364
S.S. Metropolitano Sur,Buin,Centro de Salud Familiar Maipo,5,60,134
S.S. Metropolitano Sur,Buin,Hospital San Luis (Buin),0,0,0
S.S. Metropolitano Sur,Buin,Posta de Salud Rural El Recurso,0,0,0
S.S. Metropolitano Sur,Buin,Posta de Salud Rural Los Morros,0,0,0
S.S. Metropolitano Sur,Buin,Posta de Salud Rural Valdivia de Paine,0,4,7
S.S. Metropolitano Sur,Buin,Posta de Salud Rural Viluco,2,10,20
S.S. Metropolitano Sur,Calera De Tango,Centro de Salud Familiar Calera de Tango,3,27,43
S.S. Metropolitano Sur,Calera De Tango,Centro de Salud Familiar Los Bajos de San Agustín,3,35,67
S.S. Metropolitano Sur,El Bosque,Centro de Salud Familiar Canciller Orlando Letelier,3,46,130
S.S. Metropolitano Sur,El Bosque,Centro de Salud Familiar Cóndores de Chile,5,54,93
S.S. Metropolitano Sur,El Bosque,Centro de Salud Familiar Dr. Carlos Lorca Tobar,9,75,161
S.S. Metropolitano Sur,El Bosque,Centro de Salud Familiar Dr. Mario Salcedo,4,37,77
S.S. Metropolitano Sur,El Bosque,Centro de Salud Familiar Dra. Haydeé López Casoou,11,47,91
S.S. Metropolitano Sur,El Bosque,Centro de Salud Familiar Santa Laura,7,76,113
S.S. Metropolitano Sur,La Cisterna,Centro de Salud Familiar Eduardo Frei Montalva,38,342,656
S.S. Metropolitano Sur,La Cisterna,Centro de Salud Familiar Santa Anselma,39,237,662
S.S. Metropolitano Sur,La Granja,Centro de Salud Familiar Padre Esteban Gumucio Vives,26,83,137
S.S. Metropolitano Sur,Lo Espejo,Centro de Salud Familiar Clara Estrella,9,75,148
S.S. Metropolitano Sur,Lo Espejo,Centro de Salud Familiar Dra. Mariela Salgado Zepeda,12,46,108
S.S. Metropolitano Sur,Lo Espejo,Centro de Salud Familiar Julio Acuña Pinzón,12,69,125
S.S. Metropolitano Sur,Lo Espejo,Centro de Salud Familiar Pueblo Lo Espejo,16,78,136
