SERVICIO,COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Ministerio de Salud,Santiago,Punto de vacunacion Minsal,0,0,0
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,13,118,326
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,49,135,342
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,62,329,659
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,61,254,757
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,17,200,381
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Clotario Blest,10,42,152
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Carlos Godoy,20,61,115
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Iván Insunza,11,87,204
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,10,66,295
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,5,26,59
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,29,91,202
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,14,103,221
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,16,89,189
S.S. Metropolitano Central,Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,0,9,13
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,8,39,61
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,14,104,223
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,27,132,223
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,40,525,1058
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,31,203,389
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,52,225,413
S.S. Metropolitano Central,Santiago,Hospital Clínico San Borja Arriarán,6,27,60
S.S. Metropolitano Central,Santiago,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,0,0,1
S.S. Metropolitano Norte,Colina,CESFAM La Reina de Colina,4,33,63
S.S. Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,0,3,8
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Colina,17,99,206
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Esmeralda,14,74,137
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Chacabuco (Colina),0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Colorado,0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Las Canteras,0,0,0
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Los Ingleses,0,3,3
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Santa Marta de Liray,0,1,1
S.S. Metropolitano Norte,Colina,SAR Colina,0,0,0
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,11,29,62
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar José Symon Ojeda,7,40,65
