SERVICIO,COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Ministerio de Salud,Santiago,Punto de vacunacion Minsal,0,0,0
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,168,521,2337
S.S. Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,271,909,2295
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,174,779,1606
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,314,821,2616
S.S. Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,173,725,2702
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Clotario Blest,92,274,1045
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Carlos Godoy,315,999,3008
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Iván Insunza,170,483,1427
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,62,1008,2564
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,26,155,793
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,126,614,2459
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,344,1145,4212
S.S. Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,183,697,2404
S.S. Metropolitano Central,Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,2,15,77
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,49,456,1179
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,205,862,3372
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,102,271,1298
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,304,1439,4644
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,283,827,2149
S.S. Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,124,556,2121
S.S. Metropolitano Central,Santiago,Hospital Clínico San Borja Arriarán,37,231,721
S.S. Metropolitano Central,Santiago,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,2,16,27
S.S. Metropolitano Norte,Colina,CESFAM La Reina de Colina,19,127,416
S.S. Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,0,13,27
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Colina,314,1305,3674
S.S. Metropolitano Norte,Colina,Centro de Salud Familiar Esmeralda,43,381,772
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Chacabuco (Colina),0,15,35
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Colorado,0,18,38
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Las Canteras,0,13,32
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Los Ingleses,0,21,37
S.S. Metropolitano Norte,Colina,Posta de Salud Rural Santa Marta de Liray,0,16,40
S.S. Metropolitano Norte,Colina,SAR Colina,0,0,0
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,19,156,647
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar José Symon Ojeda,19,145,743
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Juanita Aguirre,17,129,554
S.S. Metropolitano Norte,Conchalí,Centro de Salud Familiar Lucas Sierra,22,390,1659
S.S. Metropolitano Norte,Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,6,49,180
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens,62,197,651
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Victor Castro Wiren,15,125,475
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar El Barrero,11,67,331
S.S. Metropolitano Norte,Huechuraba,Centro de Salud Familiar La Pincoya,21,250,884
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Agustín Cruz Melo,156,835,2766
S.S. Metropolitano Norte,Independencia,Centro de Salud Familiar Juan Antonio Ríos,54,182,724
S.S. Metropolitano Norte,Independencia,"Complejo Hospitalario San José (Santiago, Independencia)",9,47,224
S.S. Metropolitano Norte,Independencia,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",6,38,114
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Batuco,41,127,517
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar José Bauza Frau,67,358,1449
S.S. Metropolitano Norte,Lampa,Centro de Salud Familiar Juan Pablo II,9,62,337
S.S. Metropolitano Norte,Lampa,Posta de Salud Rural Juan Pablo II de Lampa,0,0,0
S.S. Metropolitano Norte,Quilicura,CESFAM Marta Ugarte Román,123,541,1491
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Irene Frei de Cid,221,522,1481
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Manuel Bustos Huerta,15,403,1366
S.S. Metropolitano Norte,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens,198,810,2051
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),29,166,661
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),38,166,540
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Quinta Bella,18,235,955
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Recoleta,101,804,1876
S.S. Metropolitano Norte,Recoleta,Centro de Salud Familiar Valdivieso,78,325,876
S.S. Metropolitano Norte,Recoleta,SAR Recoleta,0,0,0
S.S. Metropolitano Norte,Tiltil,Centro de Salud Familiar Huertos Familiares,1,22,104
S.S. Metropolitano Norte,Tiltil,Hospital de Til Til,4,62,347
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural La Capilla de Caleu,0,0,0
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural Montenegro,0,0,0
S.S. Metropolitano Norte,Tiltil,Posta de Salud Rural Polpaico,0,2,28
S.S. Metropolitano Occidente,Alhué,Centro de Salud Familiar Villa Alhué,12,78,242
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Cerro Navia,13,201,761
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Adalberto Steeger,42,327,1491
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Dr. Arturo Albertz,86,618,2081
S.S. Metropolitano Occidente,Cerro Navia,Centro de Salud Familiar Lo Amor,25,184,731
S.S. Metropolitano Occidente,Curacavi,Hospital de Curacaví,29,273,1188
S.S. Metropolitano Occidente,El Monte,Centro de Salud Familiar El Monte,82,288,1027
S.S. Metropolitano Occidente,Isla De Maipo,Centro Comunitario de Salud Familiar La Islita,0,0,20
S.S. Metropolitano Occidente,Isla De Maipo,Centro Comunitario de Salud Familiar San Vicente de Naltagua,6,18,44
S.S. Metropolitano Occidente,Isla De Maipo,Centro de Salud Familiar Isla de Maipo,32,85,341
S.S. Metropolitano Occidente,Isla De Maipo,Centro de Salud Familiar La Islita,6,67,353
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural Gacitúa,1,10,47
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),2,4,29
S.S. Metropolitano Occidente,Isla De Maipo,Posta de Salud Rural San Antonio de Naltagua,0,6,41
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Carlos Avendaño,27,180,1225
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Raúl Yazigi,20,166,566
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Pablo Neruda,47,185,601
S.S. Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Santa Anita,75,355,875
S.S. Metropolitano Occidente,María Pinto,Centro de Salud Familiar Adriana Madrid De Costabal,13,115,336
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Alfarera Rosa Reyes Vilches,1,46,214
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Dr. Edelberto Elgueta,19,172,640
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Dr. Francisco Boris Soler,17,163,551
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar Florencia,41,251,950
S.S. Metropolitano Occidente,Melipilla,Centro de Salud Familiar San Manuel,8,57,249
S.S. Metropolitano Occidente,Melipilla,Hospital San José (Melipilla),0,0,2
S.S. Metropolitano Occidente,Melipilla,Posta de Salud Rural Bollenar,0,43,236
S.S. Metropolitano Occidente,Melipilla,Posta de Salud Rural Pahuilmo,0,56,139
S.S. Metropolitano Occidente,Melipilla,Posta de salud Rural Pabellón,2,6,38
S.S. Metropolitano Occidente,Padre Hurtado,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),250,1002,3220
S.S. Metropolitano Occidente,Peñaflor,Centro de Salud Familiar Dr. Fernando Monckeberg,50,295,1108
S.S. Metropolitano Occidente,Peñaflor,Centro de Salud Familiar Peñaflor,33,256,1259
S.S. Metropolitano Occidente,Peñaflor,Hospital de Peñaflor,0,7,10
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.,0,4,33
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Mar Caribe,0,3,28
S.S. Metropolitano Occidente,Pudahuel,Centro Comunitario de Salud Familiar Santa Corina,2,15,53
S.S. Metropolitano Occidente,Pudahuel,Centro de Referencia de Salud Salvador Allende,0,1,1
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Cardenal Raúl Silva Henríquez,29,140,487
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Dr. Gustavo Molina,51,187,845
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Pudahuel Estrella,40,200,1371
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Pudahuel Poniente,146,394,1219
S.S. Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Violeta Parra,63,410,1691
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Andes,52,232,817
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Garín,16,114,671
S.S. Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Lo Franco,41,191,743
S.S. Metropolitano Occidente,Quinta Normal,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",1,26,82
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Bicentenario,49,377,1579
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Dr. Hernán Urzúa Merino,39,228,1656
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Huamachuco,34,126,790
S.S. Metropolitano Occidente,Renca,Centro de Salud Familiar Renca,80,642,2200
S.S. Metropolitano Occidente,San Pedro,Centro de Salud Familiar San Pedro,17,104,386
S.S. Metropolitano Occidente,Santiago,"Hospital San Juan de Dios (Santiago, Santiago)",22,219,619
S.S. Metropolitano Occidente,Santiago,Instituto Traumatológico Dr. Teodoro Gebauer,1,1,3
S.S. Metropolitano Occidente,Talagante,Centro de Salud Familiar Dr. Alberto Allende Jones,76,552,1876
S.S. Metropolitano Occidente,Talagante,Hospital Adalberto Steeger (Talagante),0,0,44
